region,sexo,edad,nivel_educacional,estado_laboral,tipo_contrato,ingreso_mensual,horas_trabajo
Metropolitana,Mujer,28,Universitaria,Ocupado,Indefinido,720000,40
Biobío,Hombre,34,Técnica,Ocupado,Plazo fijo,560000,38
Valparaíso,Mujer,42,Media,Ocupado,Informal,450000,35
Araucanía,Hombre,19,Básica,Desocupado,N/A,0,0
Metropolitana,Mujer,51,Universitaria,Ocupado,Indefinido,890000,42
Coquimbo,Hombre,24,Media,Ocupado,Plazo fijo,410000,40
Los Lagos,Mujer,37,Técnica,Ocupado,Informal,520000,36
Antofagasta,Hombre,46,Universitaria,Ocupado,Indefinido,1050000,45
Maule,Mujer,33,Media,Ocupado,Plazo fijo,470000,38
O’Higgins,Hombre,55,Básica,Inactivo,N/A,0,0
Metropolitana,Mujer,30,Universitaria,Ocupado,Indefinido,780000,40
Biobío,Hombre,29,Técnica,Ocupado,Plazo fijo,590000,40
Valparaíso,Mujer,41,Media,Ocupado,Informal,430000,37
Araucanía,Hombre,61,Básica,Inactivo,N/A,0,0
Coquimbo,Mujer,45,Universitaria,Ocupado,Indefinido,920000,40
Los Ríos,Hombre,27,Media,Ocupado,Plazo fijo,480000,38
Magallanes,Mujer,52,Técnica,Ocupado,Plazo fijo,670000,40
Metropolitana,Hombre,23,Media,Ocupado,Informal,390000,35
Biobío,Mujer,36,Universitaria,Ocupado,Indefinido,810000,42
Valparaíso,Hombre,49,Técnica,Ocupado,Plazo fijo,650000,40
Maule,Mujer,21,Media,Desocupado,N/A,0,0
O’Higgins,Hombre,39,Universitaria,Ocupado,Indefinido,850000,44
Coquimbo,Mujer,57,Media,Inactivo,N/A,0,0
Los Lagos,Hombre,32,Técnica,Ocupado,Plazo fijo,540000,40
Antofagasta,Mujer,44,Universitaria,Ocupado,Indefinido,990000,45
Maule,Hombre,26,Media,Ocupado,Informal,420000,36
Metropolitana,Mujer,38,Universitaria,Ocupado,Indefinido,830000,42
Biobío,Hombre,47,Básica,Ocupado,Plazo fijo,490000,38
Valparaíso,Mujer,29,Técnica,Ocupado,Plazo fijo,580000,40
Araucanía,Hombre,53,Media,Inactivo,N/A,0,0
Coquimbo,Mujer,34,Universitaria,Ocupado,Indefinido,900000,40
Los Ríos,Hombre,25,Media,Desocupado,N/A,0,0
Magallanes,Mujer,43,Técnica,Ocupado,Plazo fijo,660000,40
Metropolitana,Hombre,58,Universitaria,Ocupado,Indefinido,960000,45
Biobío,Mujer,31,Media,Ocupado,Informal,440000,37
Valparaíso,Hombre,40,Básica,Ocupado,Plazo fijo,460000,40
Maule,Mujer,22,Media,Ocupado,Informal,380000,35
O’Higgins,Hombre,50,Universitaria,Ocupado,Indefinido,870000,43
Coquimbo,Mujer,35,Técnica,Ocupado,Plazo fijo,570000,40
Los Lagos,Hombre,48,Universitaria,Ocupado,Indefinido,980000,44
Antofagasta,Mujer,27,Media,Ocupado,Informal,410000,36
Metropolitana,Hombre,33,Técnica,Ocupado,Plazo fijo,550000,40
Biobío,Mujer,46,Universitaria,Ocupado,Indefinido,860000,42
Valparaíso,Hombre,28,Media,Ocupado,Plazo fijo,480000,38
Araucanía,Mujer,54,Básica,Inactivo,N/A,0,0
Coquimbo,Hombre,39,Técnica,Ocupado,Plazo fijo,530000,40
Los Ríos,Mujer,41,Universitaria,Ocupado,Indefinido,890000,45
Magallanes,Hombre,30,Media,Ocupado,Plazo fijo,510000,40
Metropolitana,Mujer,36,Técnica,Ocupado,Plazo fijo,600000,40
