region,tasa_desempleo,poblacion_total,crecimiento_poblacional,ingreso_mediano_hogar,tasa_propietarios,viviendas_multipiso,nivel_educacional_mediano
Norte_1,8.4,540000,1.2,720000,62.1,38.4,Media completa
Norte_2,7.1,620000,-0.5,680000,59.3,41.2,Técnico superior
Norte_3,9.3,410000,0.8,640000,65.8,32.5,Media completa
Centro_1,6.2,980000,1.5,880000,55.4,48.6,Universitaria completa
Centro_2,5.8,1120000,2.1,910000,52.7,50.1,Universitaria completa
Centro_3,7.4,870000,0.4,760000,60.2,36.9,Técnico superior
Sur_1,10.2,350000,-1.1,520000,71.5,21.4,Básica incompleta
Sur_2,8.9,390000,-0.3,580000,68.2,25.6,Media completa
Sur_3,7.6,420000,0.6,610000,66.9,28.7,Técnico superior
Austral_1,6.9,210000,0.2,750000,63.3,30.1,Universitaria completa
Austral_2,9.7,180000,-0.8,540000,72.4,18.9,Media completa
Austral_3,8.1,240000,1.0,690000,64.5,34.2,Técnico superior
Centro_4,6.5,930000,0.9,820000,57.8,44.3,Universitaria completa
Centro_5,7.9,760000,-0.2,700000,61.6,37.5,Media completa
Norte_4,8.7,500000,0.3,660000,63.9,33.8,Técnico superior
Sur_4,9.1,370000,-0.7,560000,70.3,22.9,Básica incompleta
Austral_4,7.2,260000,1.4,780000,58.6,40.5,Universitaria completa
Centro_6,5.5,1250000,2.4,940000,50.9,53.2,Universitaria completa
Norte_5,8.0,450000,-0.1,670000,62.7,35.9,Media completa
Sur_5,9.8,320000,-1.4,510000,73.6,17.3,Básica incompleta
Centro_7,6.8,890000,0.7,830000,56.4,46.1,Técnico superior
Austral_5,7.5,230000,0.5,720000,61.1,33.4,Media completa
Norte_6,8.6,480000,0.0,650000,64.2,31.7,Técnico superior
Centro_8,5.9,1010000,1.8,900000,54.3,49.8,Universitaria completa
Sur_6,10.5,300000,-1.6,490000,75.1,15.2,Básica incompleta
Austral_6,6.7,270000,0.9,760000,59.8,38.7,Universitaria completa
Centro_9,7.3,840000,0.1,790000,60.5,39.6,Técnico superior
Norte_7,9.0,430000,-0.4,600000,67.4,27.8,Media completa
Sur_7,8.8,360000,-0.9,570000,69.1,24.5,Media completa
Centro_10,6.1,970000,1.3,870000,55.9,47.4,Universitaria completa
